date,total_cases,population
2021-10-26,80876,1441553
2021-06-17,35862,1441553
2021-12-30,106350,1441553
2020-11-12,16171,1441553
2021-06-15,35802,1441553
2020-11-10,15961,1441553
2020-10-10,13371,1441553
2021-07-23,38499,1441553
2022-04-26,238763,1441553
2020-03-20,49,1441553
2020-10-06,13009,1441553
2021-08-08,44609,1441553
2020-06-06,662,1441553
2020-08-13,4512,1441553
2022-05-15,251759,1441553
2021-08-29,60094,1441553
2022-07-21,313805,1441553
2020-08-20,6048,1441553
2021-09-25,75391,1441553
2020-04-17,564,1441553
2020-06-02,646,1441553
2020-09-04,9655,1441553
2020-07-08,1109,1441553
2020-04-28,602,1441553
2020-10-13,13538,1441553
2021-10-28,81168,1441553
2022-05-26,267602,1441553
2021-07-02,36508,1441553
2021-08-13,47612,1441553
2022-07-17,309561,1441553
2022-03-30,234659,1441553
2022-02-28,230458,1441553
2021-12-01,84848,1441553
2020-08-23,6744,1441553
2022-01-13,152811,1441553
2021-11-05,82071,1441553
2020-12-24,20309,1441553
2022-07-12,305348,1441553
2021-09-08,66925,1441553
2020-10-26,14653,1441553
2021-12-29,102925,1441553
2021-11-18,83486,1441553
2022-07-05,301246,1441553
2020-08-17,5322,1441553
2022-04-19,237097,1441553
2021-05-24,34688,1441553
2020-05-06,617,1441553
2020-06-25,849,1441553
2020-01-31,0,1441553
2021-05-19,34395,1441553
2021-08-14,48376,1441553
2022-02-18,228073,1441553
2022-02-06,221173,1441553
2020-11-15,16379,1441553
2020-05-05,615,1441553
2022-03-22,232845,1441553
2020-05-25,636,1441553
2020-07-30,2085,1441553
2020-09-27,12167,1441553
2020-11-08,15834,1441553
2021-08-28,58436,1441553
2022-03-05,231222,1441553
2020-09-24,11855,1441553
2021-05-17,34247,1441553
2021-11-11,82710,1441553
2021-07-29,39624,1441553
2022-07-16,309561,1441553
2020-07-13,1239,1441553
2021-08-23,54608,1441553
2021-07-11,37025,1441553
2022-03-25,233569,1441553
2021-05-11,33723,1441553
2021-12-27,100559,1441553
2022-05-31,267602,1441553
2021-10-27,81051,1441553
2020-04-04,388,1441553
2021-04-26,32349,1441553
2021-07-30,40176,1441553
2021-09-09,67346,1441553
2022-07-08,305348,1441553
2021-08-05,42770,1441553
2021-11-27,84466,1441553
2021-03-17,28423,1441553
2022-06-18,290652,1441553
2022-01-16,165622,1441553
2020-11-27,17498,1441553
2021-06-12,35693,1441553
2021-12-21,91202,1441553
2021-04-30,32694,1441553
2021-04-02,30017,1441553
2020-05-30,644,1441553
2020-01-23,0,1441553
2021-08-31,61353,1441553
2020-02-20,0,1441553
2020-04-25,596,1441553
2021-11-02,81689,1441553
2021-06-26,36251,1441553
2020-07-22,1463,1441553
2021-04-08,30673,1441553
2021-02-09,26456,1441553
2020-10-31,14995,1441553
2020-06-29,901,1441553
2020-11-14,16379,1441553
2021-11-14,82986,1441553
2020-12-22,20089,1441553
2020-10-23,14412,1441553
2022-02-12,225523,1441553
2020-07-31,2172,1441553
2022-05-02,241955,1441553
2021-05-14,33915,1441553
2021-12-07,85464,1441553
2022-03-10,231844,1441553
2020-02-13,0,1441553
2022-06-10,283574,1441553
2021-10-18,79941,1441553
2021-05-21,34521,1441553
2021-11-29,84685,1441553
2020-03-28,199,1441553
2021-02-02,25932,1441553
2021-12-24,95454,1441553
2021-01-24,25093,1441553
2020-11-19,16677,1441553
2022-02-27,230097,1441553
2021-10-23,80569,1441553
2020-08-31,8622,1441553
2020-12-10,18586,1441553
2021-01-10,22778,1441553
2021-06-13,35723,1441553
2021-06-28,36314,1441553
2020-07-25,1655,1441553
2022-06-03,275631,1441553
2022-06-02,275631,1441553
2022-06-22,296007,1441553
2022-05-03,241955,1441553
2021-06-08,35422,1441553
2020-07-03,980,1441553
2022-02-03,217895,1441553
2021-05-08,33540,1441553
2021-09-18,72687,1441553
2021-03-25,29120,1441553
2021-05-10,33665,1441553
2021-08-09,45041,1441553
2022-07-02,301246,1441553
2020-12-23,20184,1441553
2021-05-18,34300,1441553
2020-12-07,18344,1441553
2022-02-20,228735,1441553
2021-04-04,30338,1441553
2022-06-05,275631,1441553
2021-08-20,52401,1441553
2022-01-28,208253,1441553
2021-07-20,37936,1441553
2022-06-30,301246,1441553
2020-09-11,10547,1441553
2021-05-03,33060,1441553
2021-02-28,27473,1441553
2021-01-14,23305,1441553
2022-02-16,226992,1441553
2022-02-05,220275,1441553
2022-05-04,246110,1441553
2022-05-17,251759,1441553
2020-02-26,0,1441553
2020-07-29,1963,1441553
2021-09-10,68087,1441553
2021-01-09,22600,1441553
2022-03-27,233569,1441553
2020-08-25,7234,1441553
2020-06-04,653,1441553
2022-07-18,309561,1441553
2021-09-29,76457,1441553
2021-10-10,78986,1441553
2021-11-23,84135,1441553
2021-02-05,26192,1441553
2022-03-16,232845,1441553
2020-09-01,8961,1441553
2021-12-14,86579,1441553
2021-10-02,77412,1441553
2021-01-04,21614,1441553
2021-03-15,28312,1441553
2021-08-25,55668,1441553
2021-10-19,80005,1441553
2022-02-11,224833,1441553
2020-02-15,0,1441553
2020-06-28,883,1441553
2020-03-10,2,1441553
2020-05-10,622,1441553
2022-04-22,238763,1441553
2020-09-25,11982,1441553
2021-06-06,35360,1441553
2022-01-09,139262,1441553
2021-08-18,50821,1441553
2020-05-22,636,1441553
2021-02-10,26507,1441553
2022-07-03,301246,1441553
2021-02-12,26652,1441553
2020-02-07,0,1441553
2020-08-12,4280,1441553
2021-11-28,84615,1441553
2022-03-26,233569,1441553
2020-07-01,928,1441553
2020-02-19,0,1441553
2022-04-01,234659,1441553
2021-10-03,77688,1441553
2022-02-23,229199,1441553
2020-12-28,20676,1441553
2020-09-02,9169,1441553
2020-11-02,15147,1441553
2022-07-09,305348,1441553
2021-12-19,89675,1441553
2020-12-27,20631,1441553
2020-04-24,594,1441553
2021-03-04,27604,1441553
2020-02-12,0,1441553
2021-07-05,36646,1441553
2021-05-22,34610,1441553
2021-01-22,24785,1441553
2021-09-21,73841,1441553
2022-07-13,309561,1441553
2020-04-14,524,1441553
2021-08-04,42135,1441553
2021-10-29,81311,1441553
2021-01-17,23725,1441553
2021-12-20,90510,1441553
2020-05-02,610,1441553
2020-08-24,6959,1441553
2020-11-05,15471,1441553
2021-04-16,31422,1441553
2020-11-24,17198,1441553
2021-03-11,27998,1441553
2022-01-22,194451,1441553
2020-12-04,18058,1441553
2020-04-10,489,1441553
2020-02-02,0,1441553
2022-06-14,283574,1441553
2022-04-27,241955,1441553
2020-02-17,0,1441553
2022-01-27,206405,1441553
2020-12-17,19417,1441553
2021-09-06,66057,1441553
2022-04-08,235797,1441553
2021-09-30,76784,1441553
2020-03-17,16,1441553
2022-06-21,290652,1441553
2021-01-27,25366,1441553
2021-02-08,26428,1441553
2022-03-28,233569,1441553
2021-10-01,77143,1441553
2021-05-06,33309,1441553
2020-08-06,3088,1441553
2021-12-23,93646,1441553
2020-09-22,11654,1441553
2022-04-21,238763,1441553
2021-10-12,79142,1441553
2020-02-22,0,1441553
2022-07-10,305348,1441553
2021-08-15,49205,1441553
2021-07-01,36435,1441553
2021-02-25,27247,1441553
2021-09-16,71570,1441553
2022-03-31,234659,1441553
2021-11-10,82582,1441553
2021-06-05,35283,1441553
2021-01-31,25786,1441553
2021-08-10,45460,1441553
2021-10-21,80281,1441553
2021-01-28,25460,1441553
2022-02-21,228934,1441553
2022-05-11,251759,1441553
2021-06-29,36344,1441553
2021-10-05,77963,1441553
2020-08-18,5583,1441553
2022-03-14,231844,1441553
2021-03-05,27655,1441553
2021-11-15,83079,1441553
2020-12-25,20428,1441553
2021-07-18,37717,1441553
2020-04-05,406,1441553
2020-10-07,13110,1441553
2020-11-26,17415,1441553
2022-05-22,258781,1441553
2021-07-10,36934,1441553
2022-06-09,283574,1441553
2022-04-30,241955,1441553
2020-05-18,630,1441553
2021-04-17,31606,1441553
2020-09-03,9436,1441553
2020-07-04,1005,1441553
2020-08-10,3728,1441553
2022-01-26,204085,1441553
2022-05-20,258781,1441553
2022-01-10,143089,1441553
2021-04-20,31817,1441553
2021-05-04,33132,1441553
2021-07-26,39156,1441553
2021-09-14,70504,1441553
2022-02-08,222504,1441553
2021-04-23,32066,1441553
2020-03-27,171,1441553
2020-11-17,16515,1441553
2021-09-22,74169,1441553
2022-01-02,115400,1441553
2020-04-21,584,1441553
2021-06-30,36391,1441553
2021-02-13,26729,1441553
2022-04-09,235797,1441553
2020-09-12,10661,1441553
2022-05-05,246110,1441553
2020-12-09,18470,1441553
2021-11-04,81960,1441553
2020-05-03,611,1441553
2021-12-26,97022,1441553
2020-09-23,11744,1441553
2021-07-13,37134,1441553
2022-04-24,238763,1441553
2021-07-06,36680,1441553
2021-05-29,34889,1441553
2021-12-11,86016,1441553
2021-07-08,36777,1441553
2020-07-24,1591,1441553
2021-08-19,51565,1441553
2022-01-19,180337,1441553
2021-10-30,81461,1441553
2020-10-16,13813,1441553
2021-07-28,39392,1441553
